,created_at,device_type,end_time,fitness_discipline,has_pedaling_metrics,has_leaderboard_metrics,id,is_total_work_personal_record,metrics_type,name,peloton_id,platform,start_time,status,timezone,title,total_work,user_id,workout_type,total_video_watch_time_seconds,total_video_buffering_seconds,v2_total_video_watch_time_seconds,v2_total_video_buffering_seconds,total_music_audio_play_seconds,total_music_audio_buffer_seconds,created,device_time_created_at,strava_id,fitbit_id,effort_zones,ride,instructor_name
48,1619271728,home_bike_plus,1619272955.0,strength,False,False,dbb49231296b463f8f1843e68c4f3b7e,False,,Strength Workout,c2cb9271946b40809775c0ca7add7951,home_bike,1619271756,COMPLETE,Etc/GMT+4,,0.0,59e3bfdb1bea41e389420210ae78ee68,class,1201,0,1387.0,0.0,,,1619271728,1619257328,,,,,Robin Arzón
49,1619270319,home_bike_plus,1619271579.0,strength,False,False,769a6f187f804c3b9d47e0872781a1cd,False,,Strength Workout,89c49d041d0f4bd083eea84a4f1c8e86,home_bike,1619270380,COMPLETE,Etc/GMT+4,,0.0,59e3bfdb1bea41e389420210ae78ee68,class,1231,0,1359.0,1.0,,,1619270319,1619255919,,,,,Adrian Williams
50,1619191604,home_bike_plus,1619191873.0,strength,False,False,bcca6421532d446fa93c593371db78d4,False,,Strength Workout,99734bf3566e4c6dae75613526acb324,home_bike,1619191666,COMPLETE,Etc/GMT+4,,0.0,59e3bfdb1bea41e389420210ae78ee68,class,240,1,264.0,2.0,,,1619191604,1619177204,,,,,Adrian Williams
51,1619190859,home_bike_plus,1619191551.0,yoga,False,False,fd23e422359b4483b07c1188f0fb8024,False,,Yoga Workout,9248033c79ae47cdb498d9537be678a0,home_bike,1619190952,COMPLETE,Etc/GMT+4,,0.0,59e3bfdb1bea41e389420210ae78ee68,class,691,0,723.0,1.0,,,1619190859,1619176459,,,,,Mariana Fernández
52,1619188048,home_bike_plus,1619190050.0,yoga,False,False,fcfe819ff07e4090b274b2e173a6d3b2,False,,Yoga Workout,7a6b3bca392641a9ad728615b8a2101d,home_bike,1619188253,COMPLETE,Etc/GMT+4,,0.0,59e3bfdb1bea41e389420210ae78ee68,class,1981,0,2063.0,0.0,,,1619188048,1619173648,,,,,Mariana Fernández
53,1619126046,home_bike_plus,1619126443.0,cycling,True,True,b4f8fe39322c4a9d904a3b33f8c2b5e3,False,cycling,Cycling Workout,962fa8ab46a5441583ae2317b2a23485,home_bike,1619126108,COMPLETE,Etc/GMT+4,,23086.33,59e3bfdb1bea41e389420210ae78ee68,class,391,0,393.0,1.0,,,1619126046,1619111646,,,,,Tunde Oyeneyin
54,1619125742,home_bike_plus,1619125822.0,cycling,True,False,cbffbefe94b84057a4805d3e39eee20e,False,cycling,Cycling Workout,,home_bike,1619125743,COMPLETE,America/New_York,1 min 19 sec Just Ride,5037.45,59e3bfdb1bea41e389420210ae78ee68,freestyle,0,0,,,,,1619125742,1619111342,,,,"{'id': '00000000000000000000000000000000', 'is_archived': False, 'instructor': {'name': 'JUST RIDE', 'image_url': 'https://s3.amazonaws.com/peloton-ride-images/just-ride.png'}, 'title': '1 min 19 sec Just Ride', 'scheduled_start_time': 1619125742, 'duration': 79}",freestyle
55,1618958076,iPhone,1618958555.0,running,False,False,1cea33860e444513b9354bce27d69310,False,,Running Workout,499b6cb3490d402493ebe9173d2aec5a,iOS_app,1618958105,COMPLETE,America/New_York,,0.0,59e3bfdb1bea41e389420210ae78ee68,class,458,3,447.0,1.0,,,1618958076,1618943676,,,,,Selena Samuela
56,1618855372,iPhone,1618856846.0,strength,False,False,7db847f6c8404381b7b60c63c5f90570,False,,Strength Workout,7c5df7660733489785baf355022f7944,iOS_app,1618855432,COMPLETE,America/New_York,,0.0,59e3bfdb1bea41e389420210ae78ee68,class,1370,2,1344.0,1.0,,,1618855372,1618840972,,,,,Adrian Williams
57,1618851926,home_bike_plus,1618853175.0,cycling,True,True,83f104d5790b45a590eaac93c647acf9,False,cycling,Cycling Workout,c50cd4f1702c4d75b079ac62df6d8ffa,home_bike,1618851980,COMPLETE,Etc/GMT+4,,242189.82,59e3bfdb1bea41e389420210ae78ee68,class,1230,1,1286.0,1.0,,,1618851926,1618837526,,,,,Alex Toussaint
